"name";"code";level2Code;"level3Code";"code_fichier";"nom_fichier";"date_fin";"description_operation";"bank_statement_file_format"
"Branch Deposit";"PMNT";CNTR;"BCDP";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Branch Withdrawl";"PMNT";"CNTR";BCWD;"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Cash Deposit";"PMNT";"CNTR";"CDPT";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Cash Withdrawal";"PMNT";"CNTR";"CWDL";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Charges (Generic)";"PMNT";"CNTR";"CHRG";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Check Deposit";"PMNT";"CNTR";"CHKD";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Commission (Generic)";"PMNT";"CNTR";"COMM";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Commission Excluding Taxes (Generic)";"PMNT";"CNTR";"COME";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Commission Including Taxes (Generic)";"PMNT";"CNTR";"COMI";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Credit Adjustments (Generic)";"PMNT";"CNTR";"CAJT";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Debit Adjustments (Generic)";"PMNT";"CNTR";"DAJT";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Fees (Generic)";"PMNT";"CNTR";"FEES";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Foreign Currencies Deposit";"PMNT";"CNTR";"FCDP";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Foreign Currencies Withdrawal";"PMNT";"CNTR";"FCWD";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Interests (Generic)";"PMNT";"CNTR";"INTR";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Miscellaneous Deposit";"PMNT";"CNTR";"MSCD";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Mixed Deposit";"PMNT";"CNTR";"MIXD";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Non Taxable Commissions (Generic)";"PMNT";"CNTR";"COMT";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Not Available";"PMNT";"CNTR";"NTAV";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Other";"PMNT";"CNTR";"OTHR";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Reimbursement (Generic)";"PMNT";"CNTR";"RIMB";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Taxes (Generic)";"PMNT";"CNTR";"TAXE";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Travellers Cheques Deposit";"PMNT";"CNTR";"TCDP";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Travellers Cheques Withdrawal";"PMNT";"CNTR";"TCWD";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Cash Deposit";"PMNT";"CCRD";"CDPT";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Cash Withdrawal";"PMNT";"CCRD";"CWDL";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Charges (Generic)";"PMNT";"CCRD";"CHRG";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Commission (Generic)";"PMNT";"CCRD";"COMM";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Commission Excluding Taxes (Generic)";"PMNT";"CCRD";"COME";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Commission Including Taxes (Generic)";"PMNT";"CCRD";"COMI";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Credit Adjustments (Generic)";"PMNT";"CCRD";"CAJT";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Credit Card Payment";"PMNT";"CCRD";"POSC";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Cross-Border Cash Withdrawal";"PMNT";"CCRD";"XBCW";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Cross-Border Credit Card Payment";"PMNT";"CCRD";"XBCP";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Debit Adjustments (Generic)";"PMNT";"CCRD";"DAJT";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Fees (Generic)";"PMNT";"CCRD";"FEES";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Interests (Generic)";"PMNT";"CCRD";"INTR";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Non Taxable Commissions (Generic)";"PMNT";"CCRD";"COMT";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Not Available";"PMNT";"CCRD";"NTAV";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Other";"PMNT";"CCRD";"OTHR";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Point-of-Sale (POS) Payment  - Debit Card";"PMNT";"CCRD";"POSD";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Reimbursement (Generic)";"PMNT";"CCRD";"RIMB";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Smart-Card Payment";"PMNT";"CCRD";"SMRT";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Taxes (Generic)";"PMNT";"CCRD";"TAXE";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Charges (Generic)";"PMNT";"DRFT";"CHRG";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Commission (Generic)";"PMNT";"DRFT";"COMM";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Commission Excluding Taxes (Generic)";"PMNT";"DRFT";"COME";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Commission Including Taxes (Generic)";"PMNT";"DRFT";"COMI";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Credit Adjustments (Generic)";"PMNT";"DRFT";"CAJT";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
"Debit Adjustments (Generic)";"PMNT";"DRFT";"DAJT";"OPERATION CAMT53";"Operation CAMT53";;"Bank transaction codes for CAMT.053";"camt.053.001.02.stm"
