"name";"code";level2Code;"level3Code";"code_fichier";"nom_fichier";"date_fin";"description_operation";"bank_statement_file_format"
"Branch Deposit";"PMNT";CNTR;"BCDP";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Branch Withdrawl";"PMNT";"CNTR";BCWD;"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Cash Deposit";"PMNT";"CNTR";"CDPT";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Cash Withdrawal";"PMNT";"CNTR";"CWDL";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Charges (Generic)";"PMNT";"CNTR";"CHRG";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Check Deposit";"PMNT";"CNTR";"CHKD";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Commission (Generic)";"PMNT";"CNTR";"COMM";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Commission Excluding Taxes (Generic)";"PMNT";"CNTR";"COME";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Commission Including Taxes (Generic)";"PMNT";"CNTR";"COMI";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Credit Adjustments (Generic)";"PMNT";"CNTR";"CAJT";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Debit Adjustments (Generic)";"PMNT";"CNTR";"DAJT";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Fees (Generic)";"PMNT";"CNTR";"FEES";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Foreign Currencies Deposit";"PMNT";"CNTR";"FCDP";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Foreign Currencies Withdrawal";"PMNT";"CNTR";"FCWD";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Interests (Generic)";"PMNT";"CNTR";"INTR";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Miscellaneous Deposit";"PMNT";"CNTR";"MSCD";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Mixed Deposit";"PMNT";"CNTR";"MIXD";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Non Taxable Commissions (Generic)";"PMNT";"CNTR";"COMT";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Not Available";"PMNT";"CNTR";"NTAV";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Other";"PMNT";"CNTR";"OTHR";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Reimbursement (Generic)";"PMNT";"CNTR";"RIMB";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Taxes (Generic)";"PMNT";"CNTR";"TAXE";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Travellers Cheques Deposit";"PMNT";"CNTR";"TCDP";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Travellers Cheques Withdrawal";"PMNT";"CNTR";"TCWD";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Cash Deposit";"PMNT";"CCRD";"CDPT";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Cash Withdrawal";"PMNT";"CCRD";"CWDL";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Charges (Generic)";"PMNT";"CCRD";"CHRG";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Commission (Generic)";"PMNT";"CCRD";"COMM";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Commission Excluding Taxes (Generic)";"PMNT";"CCRD";"COME";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Commission Including Taxes (Generic)";"PMNT";"CCRD";"COMI";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Credit Adjustments (Generic)";"PMNT";"CCRD";"CAJT";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Credit Card Payment";"PMNT";"CCRD";"POSC";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Cross-Border Cash Withdrawal";"PMNT";"CCRD";"XBCW";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Cross-Border Credit Card Payment";"PMNT";"CCRD";"XBCP";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Debit Adjustments (Generic)";"PMNT";"CCRD";"DAJT";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Fees (Generic)";"PMNT";"CCRD";"FEES";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Interests (Generic)";"PMNT";"CCRD";"INTR";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Non Taxable Commissions (Generic)";"PMNT";"CCRD";"COMT";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Not Available";"PMNT";"CCRD";"NTAV";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
"Other";"PMNT";"CCRD";"OTHR";"OPÉRATIONS CAMT53";"Opérations CAMT53";;"Codes de transaction bancaire pour CAMT.053";"camt.053.001.02.stm"
